timeStamp	dateFrac	isHoliday	isSunday	cnt	predSimple	predTrig	predHourDay	predHourWeek	predHS	cntMA	predMA	devMA	predDev	alertVal	diffMA
2016-05-10 17:00:00	736094.708333	0	0	398313	193417	284642	299406	308679	314433	452552	380680	89422	54915	0	0
2016-05-10 18:00:00	736094.75	0	0	164965	193439	223931	149098	123163	124363	342778	275387	85791	43274	0	0
2016-05-10 19:00:00	736094.791667	0	0	115601	193460	163647	116408	97601	98174	226293	178990	67037	30253	0	0
2016-05-10 20:00:00	736094.833333	0	0	64088	193482	107899	81181	56240	55798	114884	92778	31787	15690	0	0
2016-05-10 21:00:00	736094.875	0	0	39866	193504	60488	62494	34026	33039	73185	62337	14474	8924	0	0
2016-05-10 22:00:00	736094.916667	0	0	21849	193525	24646	45628	13714	12228	41934	33688	10195	6076	0	0
2016-05-10 23:00:00	736094.958333	0	0	12177	193547	2818	33309	1634	0	24630	15089	11988	4735	0	0
2016-05-11 00:00:00	736095.0	0	0	10405	193568	23605	39967	-485	0	14810	4076	13211	4528	0	0
2016-05-11 01:00:00	736095.041667	0	0	5475	193590	33214	34093	-5763	0	9352	0	11969	4311	0	0
2016-05-11 02:00:00	736095.083333	0	0	5553	193612	58105	33619	-5872	0	7144	0	9194	3925	0	0
2016-05-11 03:00:00	736095.125	0	0	21751	193633	96583	39831	685	0	10926	0	16338	7116	0	0
2016-05-11 04:00:00	736095.166667	0	0	39223	193655	146028	54052	15599	14159	22175	4719	23792	11691	0	0
2016-05-11 05:00:00	736095.208333	0	0	59349	193676	203070	86070	54576	54093	40107	22750	23758	14989	0	0
2016-05-11 06:00:00	736095.25	0	0	227502	193698	263825	215811	211316	214680	108691	94310	20251	15289	0	0
2016-05-11 07:00:00	736095.291667	0	0	360814	193720	324154	352006	364856	371988	215888	213587	12587	14304	0	0
2016-05-11 08:00:00	736095.333333	0	0	440050	193741	379946	432548	461091	470585	342788	352417	24714	17810	0	0
2016-05-11 09:00:00	736095.375	0	0	500979	193763	427401	480962	518532	529436	433947	457336	30553	24475	0	0
2016-05-11 10:00:00	736095.416667	0	0	445274	193784	463287	436995	463708	473267	462101	491096	35537	26667	0	0
2016-05-11 11:00:00	736095.458333	0	0	455595	193806	485159	427395	474510	484334	467282	495679	34780	25681	0	0
2016-05-11 12:00:00	736095.5	0	0	447864	193828	491529	429763	472473	482247	449577	479949	37361	30282	0	0
2016-05-11 13:00:00	736095.541667	0	0	442322	193849	481964	416674	456454	465835	448593	477472	35783	38813	0	0
2016-05-11 14:00:00	736095.583333	0	0	502951	193871	457117	430683	482311	492326	464379	480136	30396	42785	0	0
2016-05-11 15:00:00	736095.625	0	0	510945	193892	418683	424037	475407	485253	485406	481138	25747	43604	0	0
2016-05-11 16:00:00	736095.666667	0	0	457227	193914	369283	376123	424699	433300	490374	470293	25937	41508	0	0
2016-05-11 17:00:00	736095.708333	0	0	364564	193935	312284	313209	343173	349773	444245	422775	26938	37437	0	0
2016-05-11 18:00:00	736095.75	0	0	148990	193957	251574	162901	144537	146262	323593	309778	19983	27966	0	0
2016-05-11 19:00:00	736095.791667	0	0	105897	193979	191289	130211	100565	101211	206483	199082	11139	16858	0	0
2016-05-11 20:00:00	736095.833333	0	0	68927	194000	135541	94984	57227	56809	107938	101427	9387	9717	0	0
2016-05-11 21:00:00	736095.875	0	0	41347	194022	88130	76297	34843	33876	72057	63965	10597	7681	0	0
